player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,rank,adp,ht_total
Cameron Boozer,MEM,PF,70,30.4,0.518,11.5,0.784,5.1,1.2,17.2,7.0,3.9,1.1,0.6,2.5,65,115.0,2.96
Ty Jerome,MEM,PG/SG,60,27.4,0.506,11.7,0.874,2.9,2.2,16.4,3.0,4.5,1.3,0.1,1.7,66,131.9,2.92
Michael Porter Jr.,BKN,SF/PF,60,32.0,0.485,15.1,0.818,3.2,2.8,20.1,6.9,2.4,0.8,0.4,1.7,67,63.7,2.86
Naz Reid,CHA,PF/C,74,30.8,0.459,13.3,0.756,2.0,2.5,16.2,7.1,2.6,1.0,1.1,1.7,68,98.6,2.79
Ryan Rollins,MIL,PG/SG,72,30.1,0.475,12.4,0.797,1.9,2.2,15.5,4.2,4.9,1.5,0.5,2.4,69,121.3,2.72
Ivica Zubac,IND,C,72,30.4,0.618,10.7,0.681,2.9,0.0,15.2,11.5,2.4,0.6,1.0,1.6,70,39.4,2.70
Jaden McDaniels,MIN,SF/PF,74,32.8,0.496,12.1,0.813,2.2,1.5,15.3,5.8,2.7,1.1,1.0,1.7,71,97.6,2.65
Zach LaVine,SAC,SG/SF,68,32.4,0.501,15.1,0.844,3.7,2.9,21.1,3.6,3.4,0.7,0.2,2.4,72,89.5,2.58
John Collins,DET,PF/C,70,28.9,0.541,11.2,0.810,3.0,1.4,16.0,6.6,1.4,0.9,0.9,1.9,73,114.8,2.53
Mark Williams,PHO,C,62,24.3,0.624,8.4,0.785,3.2,0.0,13.0,8.8,1.6,0.8,1.0,1.3,74,117.0,2.51
Immanuel Quickley,TOR,PG/SG,70,32.0,0.435,13.8,0.837,3.4,2.7,17.6,4.1,6.2,1.2,0.1,1.6,75,119.0,2.51
Pascal Siakam,IND,PF,72,34.5,0.501,17.7,0.711,5.2,1.8,23.2,7.2,3.8,1.1,0.5,1.9,76,24.4,2.41
Rudy Gobert,MIN,C,74,31.5,0.675,6.7,0.596,3.8,0.0,11.3,11.1,1.7,0.8,1.5,1.3,77,87.8,2.38
Deni Avdija,POR,SF/PF,68,33.3,0.469,13.3,0.793,6.8,1.7,19.6,6.8,5.0,0.9,0.5,3.1,78,62.9,2.37
Payton Pritchard,BOS,PG/SG,77,32.5,0.467,13.3,0.873,1.5,3.2,16.9,4.2,4.7,0.9,0.2,1.3,79,99.2,2.34
Julius Randle,BKN,PF,75,32.6,0.483,14.6,0.804,5.7,1.5,20.1,6.9,4.9,0.9,0.2,2.8,80,80.1,2.32
De'Aaron Fox,SA,PG/SG,72,30.5,0.474,15.2,0.799,3.9,1.7,19.3,3.9,5.8,1.2,0.3,2.3,81,41.9,2.31
Dyson Daniels,ATL,PG/SG,75,32.3,0.504,10.1,0.622,1.6,0.6,11.8,6.1,4.7,2.1,0.5,1.7,82,60.2,2.28
Day'Ron Sharpe,BKN,C,68,28.2,0.563,8.6,0.704,2.9,0.3,11.9,9.4,3.0,1.4,0.9,2.2,83,139.8,2.26
Derik Queen,NO,PF/C,80,28.5,0.474,10.6,0.796,3.9,0.3,13.5,8.1,4.2,1.2,1.1,2.7,84,133.6,2.23
Jarrett Allen,CLE,C,70,26.9,0.676,8.2,0.712,3.8,0.0,13.8,8.9,1.8,0.9,0.8,1.2,85,67.0,2.20
Ja Morant,POR,PG,62,30.4,0.465,14.5,0.845,5.5,1.4,19.5,3.4,6.6,1.0,0.2,3.2,86,46.8,2.14
Keyonte George,UTA,PG/SG,70,31.9,0.423,14.9,0.860,5.5,2.6,19.9,3.7,6.1,0.9,0.2,2.9,87,107.6,2.13
Josh Hart,NY,SG/SF,68,31.5,0.503,9.1,0.753,2.2,1.2,12.0,8.0,5.0,1.3,0.3,1.9,88,59.4,1.98
VJ Edgecombe,PHI,SG,74,34.1,0.438,13.5,0.815,2.4,2.0,15.7,5.6,4.1,1.4,0.5,1.8,89,105.6,1.94
Andrew Wiggins,MIA,SF/PF,68,31.4,0.461,13.5,0.771,3.4,2.2,17.2,4.9,2.8,1.1,1.0,1.6,90,93.8,1.91
Ausar Thompson,DET,SF/PF,74,28.2,0.529,9.2,0.602,2.9,0.2,11.6,6.4,3.2,2.2,1.0,1.7,91,110.3,1.87
Ajay Mitchell,OKC,PG/SG,68,30.1,0.487,11.4,0.865,2.9,1.2,14.8,3.8,4.0,1.4,0.3,1.6,92,139.7,1.87
Ayo Dosunmu,MIN,PG/SG,73,31.4,0.508,11.6,0.843,2.2,1.8,15.4,3.9,4.4,1.0,0.4,1.6,93,136.0,1.87
Jakob Poeltl,TOR,C,58,26.5,0.653,8.4,0.642,2.3,0.0,12.4,8.2,2.4,1.0,1.0,1.6,94,94.4,1.82
Keegan Murray,SAC,SF/PF,72,34.2,0.450,13.8,0.824,1.8,2.2,16.1,6.5,1.5,0.9,1.1,1.0,95,128.6,1.76
Isaiah Hartenstein,OKC,C,68,26.4,0.597,7.6,0.645,2.2,0.0,10.5,10.3,3.8,0.9,1.0,1.7,96,120.1,1.76
